"filename", "language", "JSON", "Markdown", "Java", "comment", "blank", "total"
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\OperationEntities\Transaction.java", "Java", 0, 0, 55, 5, 26, 86
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\OperationEntities\Withdrawal.java", "Java", 0, 0, 6, 1, 4, 11
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Account.java", "Java", 0, 0, 57, 2, 15, 74
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Admin.java", "Java", 0, 0, 3, 0, 2, 5
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Company.java", "Java", 0, 0, 17, 0, 11, 28
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Customer.java", "Java", 0, 0, 31, 0, 8, 39
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Individual.java", "Java", 0, 0, 27, 0, 11, 38
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\User.java", "Java", 0, 0, 13, 0, 8, 21
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\ModelHandler.java", "Java", 0, 0, 37, 3, 15, 55
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Session.java", "Java", 0, 0, 136, 9, 40, 185
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\MainFrame.java", "Java", 0, 0, 38, 2, 19, 59
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\AccountCreationScreen.java", "Java", 0, 0, 114, 18, 32, 164
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\AccountManagementScreen.java", "Java", 0, 0, 161, 28, 40, 229
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\AccountSelectionScreen.java", "Java", 0, 0, 66, 4, 18, 88
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\BillPaymentScreen.java", "Java", 0, 0, 138, 24, 46, 208
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\DashboardScreen.java", "Java", 0, 0, 181, 18, 57, 256
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\DepositScreen.java", "Java", 0, 0, 95, 2, 19, 116
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\FirstPageScreen.java", "Java", 0, 0, 132, 7, 74, 213
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\LoginScreen.java", "Java", 0, 0, 109, 14, 31, 154
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\MetaforaScreen.java", "Java", 0, 0, 98, 12, 47, 157
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\RegisterCompanyScreen.java", "Java", 0, 0, 90, 12, 29, 131
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\RegisterIndividualScreen.java", "Java", 0, 0, 135, 20, 46, 201
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\StandingOrdersScreen.java", "Java", 0, 0, 185, 18, 47, 250
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\StatementsScreen.java", "Java", 0, 0, 172, 17, 44, 233
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\TypeSelectionScreen.java", "Java", 0, 0, 82, 12, 30, 124
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\WithdrawScreen.java", "Java", 0, 0, 104, 3, 24, 131
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\ViewHandler.java", "Java", 0, 0, 143, 0, 51, 194
