"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\DepositCon.java", "Java", 0, 17, 5, 4, 26
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\WithdrawCon.java", "Java", 0, 26, 7, 7, 40
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\StatementsScreen.java", "Java", 0, -20, -6, -17, -43
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\accounts.json", "JSON", 8, 0, 0, 0, 8
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\transactions.json", "JSON", 3, 0, 0, 0, 3
"Total", "-", 11, 23, 6, -6, 34
