"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ControllerHandler.java", "Java", 0, 1, 5, -6, 0
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\DashboardCon.java", "Java", 0, 1, 0, 0, 1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\MainFrameCon.java", "Java", 0, 5, 0, 0, 5
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\MetaforaCon.java", "Java", 0, 146, 30, 36, 212
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\PayBillCon.java", "Java", 0, 1, 1, 0, 2
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\StandingOrdersCon.java", "Java", 0, 5, 0, 4, 9
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Database\UserDB.java", "Java", 0, 15, 0, 3, 18
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\OperationEntities\StandingOrder.java", "Java", 0, 54, 0, 24, 78
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\OperationEntities\Transaction.java", "Java", 0, 0, 0, -5, -5
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\ModelHandler.java", "Java", 0, 4, 0, 1, 5
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\MetaforaScreen.java", "Java", 0, 24, 1, -18, 7
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\transactions.json", "JSON", 120, 0, 0, 0, 120
"Total", "-", 120, 256, 37, 39, 452
